celltype_HCA_fine,n_cells,pct_ASTAblind,pct_noDOI,pct_unreachable,top_unreachable_src,top_src_pct
Epi_CervixSquamous_Cyc,409,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_LabiaFib_Fetal,1794,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_CervixMucinous_Secretory,287,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_Prepuce_Fetal,2243,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_GlansFib_Fetal,5416,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_FallopianSMCs_Fetal,8413,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_CervixMucinous,1156,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_FallopianFib_Fetal,41092,0.0,0.0,0.0,Lardenois 2026,0.0
Epi_FallopianCil_Fetal,516,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_UGSFib_Lower,6277,0.0,0.0,0.0,Lardenois 2026,0.0
Mesen_UGSFib_Upper,11402,0.0,0.0,0.0,Lardenois 2026,0.0
Mesen_UGSLig,2661,0.0,0.0,0.0,Gaylord 2025,0.0
Mesen_UGSSMCs,383,0.0,0.0,0.0,Gaylord 2025,0.0
Epi_FallopianSec_Fetal,12310,0.0,0.0,0.0,Lardenois 2026,0.0
Mesen_UterusFibs_Fetal,29462,0.0,0.0,0.0,Lardenois 2026,0.0
Mesen_UterusLig_Fetal,12364,0.0,0.0,0.0,Lardenois 2026,0.0
Neural_SympatheticNeurons_Noradrenergic,246,0.0,0.0,0.0,Gaylord 2025,0.0
