celltype_HCA_fine,Organ,n_cells
Immune_CD8_T_RM_GZMKhi,Cervix,1157
Immune_CD8_T_RM_GZMKhi,Vagina,889
Immune_CD8_T_RM_GZMKhi,Ovary,461
Immune_CD8_T_RM_GZMKhi,Reproductive tract,9
Immune_EarlyMidErythroid,Ovary,41
Immune_EarlyMidErythroid,Reproductive tract,14
Immune_HPC,Ovary,169
Immune_HPC,Reproductive tract,38
Immune_HPC,Fallopian Tube,2
Immune_HPC,Uterus,2
Immune_ILC3_NCRhi,Uterus,1962
Immune_ILC3_NCRhi,Fallopian Tube,303
Immune_ILC3_NCRhi,Ovary,131
Immune_ILC3_NCRhi,Reproductive tract,58
Immune_ILC3_NCRhi,Cervix,37
Immune_ILC3_NCRhi,Vagina,22
Immune_ILC3_NCRhi,Mesonephros,4
Immune_ILC3_NCRlo,Uterus,222
Immune_ILC3_NCRlo,Fallopian Tube,90
Immune_ILC3_NCRlo,Cervix,4
Immune_ILC3_NCRlo,Reproductive tract,3
Immune_ILC3_NCRlo,Ovary,2
Immune_ImmatureB,Ovary,304
Immune_ImmatureB,Reproductive tract,60
Immune_ImmatureB,Uterus,19
Immune_ImmatureB,Cervix,2
Immune_ImmatureB,Fallopian Tube,1
Immune_ImmatureB,Mesonephros,1
Immune_LargePreB,Ovary,253
Immune_LargePreB,Reproductive tract,44
Immune_LargePreB,Fallopian Tube,5
Immune_LargePreB,Vagina,2
Immune_LargePreB,Uterus,1
Immune_LateErythroid,Ovary,50
Immune_LateErythroid,Reproductive tract,3
Immune_LateErythroid,Mesonephros,2
Immune_LateErythroid,Uterus,2
Immune_MAIT,Fallopian Tube,2276
Immune_MAIT,Uterus,1155
Immune_MAIT,Cervix,124
Immune_MAIT,Vagina,86
Immune_MAIT,Ovary,82
Immune_MAIT,Reproductive tract,6
Immune_MAIT,Mesonephros,4
Immune_MEMP,Ovary,203
Immune_MEMP,Uterus,24
Immune_MEMP,Reproductive tract,16
Immune_MEMP,Fallopian Tube,6
Immune_MEMP,Mesonephros,1
Immune_MO_Classical,Uterus,6339
Immune_MO_Classical,Fallopian Tube,4748
Immune_MO_Classical,Ovary,1771
Immune_MO_Classical,Vagina,414
Immune_MO_Classical,Cervix,263
Immune_MO_Classical,Reproductive tract,217
Immune_MO_Classical,Mesonephros,7
Immune_MO_NonClassical,Uterus,1236
Immune_MO_NonClassical,Fallopian Tube,707
Immune_MO_NonClassical,Ovary,148
Immune_MO_NonClassical,Vagina,26
