celltype_HCA_fine,Developmental_stage,n_cells
Immune_NaiveB,Fetal,18
Immune_NaiveB,paediatric,6
Immune_NaiveB,pubertal,1
Immune_Neutrophils,Adult,45
Immune_Plasma_κ,Adult,2313
Immune_Plasma_κ,pubertal,1
Immune_Plasma_λ,Adult,1781
Immune_Plasma_λ,pubertal,1
Immune_ProB,Fetal,161
Immune_ProB,Adult,6
Immune_SmallPreB,Fetal,274
Immune_SmallPreB,Adult,7
Immune_T_Cyc,Adult,2129
Immune_T_Cyc,Fetal,74
Immune_T_Cyc,paediatric,4
Immune_T_Cyc,pubertal,1
Immune_cDC1,Adult,1008
Immune_cDC1,Fetal,62
Immune_cDC1,paediatric,2
Immune_cDC1,pubertal,1
Immune_cDC2,Adult,3019
Immune_cDC2,Fetal,279
Immune_cDC2,paediatric,132
Immune_cDC2,pubertal,25
Immune_cDC2,postpubertal,2
Immune_cDC2_CD207hi,Adult,1489
Immune_cDC2_CD207hi,Fetal,38
Immune_cDC2_CD207hi,paediatric,5
Immune_cDC2_CD207hi,pubertal,1
Immune_mregDC,Adult,1558
Immune_mregDC,Fetal,10
Immune_mregDC,paediatric,9
Immune_oLAM,Adult,223
Immune_oLAM,paediatric,85
Immune_oLAM,Fetal,13
Immune_pDC,Adult,1142
Immune_pDC,Fetal,49
Immune_pDC,paediatric,12
Immune_tolDC,Adult,47
Immune_uMac_Inf,Adult,22964
Immune_uMac_Inf,Fetal,86
Immune_uMac_Inf,paediatric,16
Immune_uMac_Inf,pubertal,3
Immune_uNK1,Adult,3543
Immune_uNK2,Adult,12223
Immune_uNK2,Fetal,14
Immune_uNK2,paediatric,5
Immune_uNK2,pubertal,3
Immune_uNK3,Adult,10168
Immune_uNK3,Fetal,480
Immune_uNK3,paediatric,38
Immune_uNK3,postpubertal,1
Immune_uNK3,pubertal,1
Immune_uftLAM,Adult,2580
Immune_uftLAM,Fetal,177
Immune_uftLAM,paediatric,3
Immune_γδT_Vγ9Vδ2,Fetal,727
Immune_γδT_Vγ9Vδ2,Adult,53
Immune_γδT_Vγ9Vδ2,paediatric,1
Mesen_AdvFibs,Adult,19
Mesen_AdvFibsIntr,Adult,28505
Mesen_AdvFibsIntr,paediatric,4010
Mesen_AdvFibsIntr,pubertal,1262
Mesen_AdvFibsIntr,postpubertal,18
Mesen_AdvFibs_PI16hi,Adult,3030
Mesen_AdvFibs_PI16hi,paediatric,2
Mesen_AdvFibs_PI16low,Adult,18020
Mesen_AdvFibs_PI16low,paediatric,333
Mesen_AdvFibs_PI16low,pubertal,7
Mesen_CervixFib_Fetal,Fetal,11916
Mesen_CervixFibs,Adult,452
Mesen_CervixVaginaSMCs_Fetal,Fetal,11569
Mesen_CorpusCavernosumFib_Fetal,Fetal,9472
